"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","numero_arvores","variaveis_por_divisao","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,3,13210103,"rf_300_arvores_mtry_3",300,3,0.802469135802469,0.684210526315789,0.906976744186046,0.866666666666667,0.764705882352941,0.610949600151018,0.890452876376989,0.140203470026761,0.437679020185402,0.795593635250918,26,39,4,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,1,13210201,"rf_500_arvores_mtry_3",500,3,0.827160493827161,0.783783783783784,0.863636363636364,0.828571428571429,0.805555555555556,0.651029206861608,0.932432432432432,0.108964380139329,0.353050018834833,0.823710073710074,29,38,6,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,2,13210202,"rf_500_arvores_mtry_3",500,3,0.851851851851852,0.837837837837838,0.863636363636364,0.837837837837838,0.837837837837838,0.701474201474201,0.912162162162162,0.120101231468037,0.387204983897823,0.850737100737101,31,38,6,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,3,13210203,"rf_500_arvores_mtry_3",500,3,0.790123456790123,0.657894736842105,0.906976744186046,0.862068965517241,0.746268656716418,0.587996856320757,0.891064871481028,0.140467251195008,0.438365798633317,0.782435740514076,25,39,4,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,1,13210301,"rf_300_arvores_mtry_4",300,4,0.827160493827161,0.783783783783784,0.863636363636364,0.828571428571429,0.805555555555556,0.651029206861608,0.929361179361179,0.110156114332061,0.354727910104069,0.823710073710074,29,38,6,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,2,13210302,"rf_300_arvores_mtry_4",300,4,0.839506172839506,0.837837837837838,0.840909090909091,0.815789473684211,0.826666666666667,0.677499613275602,0.904791154791155,0.126054321787837,0.40027812711768,0.839373464373464,31,37,7,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,3,13210303,"rf_300_arvores_mtry_4",300,4,0.790123456790123,0.657894736842105,0.906976744186046,0.862068965517241,0.746268656716418,0.587996856320757,0.884944920440636,0.141702652364274,0.442689676510986,0.782435740514076,25,39,4,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,1,13210401,"rf_500_arvores_mtry_4",500,4,0.839506172839506,0.810810810810811,0.863636363636364,0.833333333333333,0.821917808219178,0.676110425245246,0.924447174447175,0.110853803106783,0.357324212459897,0.837223587223587,30,38,6,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,2,13210402,"rf_500_arvores_mtry_4",500,4,0.827160493827161,0.837837837837838,0.818181818181818,0.794871794871795,0.815789473684211,0.654014088330234,0.905405405405405,0.124254413022592,0.396431345732217,0.828009828009828,31,36,8,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,3,13210403,"rf_500_arvores_mtry_4",500,4,0.802469135802469,0.631578947368421,0.953488372093023,0.923076923076923,0.75,0.625408597853699,0.891064871481028,0.141110467425324,0.43928214416729,0.792533659730722,24,41,2,14,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,1,13220101,"rf_300_arvores_mtry_3",300,3,0.8375,0.837837837837838,0.837209302325581,0.815789473684211,0.826666666666667,0.673988906027626,0.924575738529227,0.114381420255728,0.371106456339872,0.83752357008171,31,36,7,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,2,13220102,"rf_300_arvores_mtry_3",300,3,0.814814814814815,0.702702702702703,0.909090909090909,0.866666666666667,0.776119402985075,0.63108291477782,0.861793611793612,0.144377763401703,0.450129437682654,0.805896805896806,26,40,4,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,3,13220103,"rf_300_arvores_mtry_3",300,3,0.864197530864197,0.837837837837838,0.886363636363636,0.861111111111111,0.849315068493151,0.725987423828911,0.923832923832924,0.106392604507726,0.34863102193881,0.862100737100737,31,39,5,6,0,0
